Ticker,Name,Sector,Industry,Price (£),Market Cap (£B),Buffett Score,Signal,Intrinsic Value (£),Margin of Safety (%),P/E Ratio,P/B Ratio,PEG Ratio,ROE (%),Net Margin (%),Op Margin (%),Debt/Equity,Current Ratio,FCF Yield (%),Dividend Yield (%),Payout Ratio (%),Subscore Quality,Subscore Health,Subscore Valuation,Subscore MOS
PRU.L,PRUDENTIAL PLC ORD 5P,Financial Services,Insurance - Life,9.58,23.66,96.0,STRONG BUY,25.46,62.4,8.96,1.63,2.45,18.74,25.49,28.05,0.29,1.52,17.49,2.1,18.36,23.0,25.0,23.0,25
ICG.L,ICG PLC ORD 26 1/4P,Financial Services,Asset Management,19.08,5.55,93.0,STRONG BUY,46.67,59.1,11.63,2.0,,18.44,48.94,46.4,0.47,1.59,15.26,4.57,51.49,23.0,22.0,23.0,25
FRES.L,FRESNILLO PLC ORD USD0.50,Basic Materials,Other Precious Metals & Mining,29.94,22.06,92.0,STRONG BUY,75.43,60.3,12.96,5.75,1.56,52.98,37.95,63.05,0.15,6.35,9.06,3.74,41.47,25.0,25.0,17.0,25
SDR.L,SCHRODERS PLC ORD 20P,Financial Services,Asset Management,5.89,9.18,91.0,STRONG BUY,11.05,46.7,13.7,2.07,1.28,15.76,19.12,23.85,0.13,4.58,6.75,3.74,49.43,23.0,25.0,18.0,25
EDV.L,ENDEAVOUR MINING PLC ORD USD0.0,Basic Materials,Gold,47.2,11.38,89.0,STRONG BUY,111.16,57.5,18.58,4.53,,31.34,17.67,46.92,0.29,1.55,15.51,3.01,42.65,25.0,25.0,14.0,25
ABDN.L,ABERDEEN GROUP PLC ORD 13 61/63,Financial Services,Asset Management,2.47,4.43,89.0,STRONG BUY,8.21,69.9,11.78,0.88,1.18,7.6,28.07,15.8,0.11,238.91,21.84,5.92,69.86,14.0,25.0,25.0,25
HSX.L,HISCOX LTD ORD 6.5P (DI),Financial Services,Insurance - Property & Casualty,19.04,6.03,88.0,STRONG BUY,39.39,51.7,13.5,2.09,3.65,16.51,15.57,14.26,0.21,82.67,7.44,2.02,26.67,20.0,25.0,18.0,25
III.L,3I GROUP PLC ORD 73 19/22P,Financial Services,Asset Management,26.73,27.22,86.0,SELL,50.57,47.1,4.96,0.88,,19.08,94.84,97.19,4.08,6.56,12.46,3.12,14.67,23.0,13.0,25.0,25
SHEL.L,SHELL PLC ORD EUR0.07,Energy,Oil & Gas Integrated,35.1,200.48,81.0,STRONG BUY,104.43,66.4,10.38,1.48,1.6,14.34,8.76,16.69,0.4,1.44,10.7,3.32,32.82,12.0,19.0,25.0,25
AUTO.L,AUTOTRADER GROUP PLC ORD 1P,Communication Services,Internet Content & Information,4.84,3.73,81.0,STRONG BUY,6.06,20.1,14.24,9.78,,60.2,47.08,62.17,0.52,1.73,6.53,2.33,31.99,25.0,22.0,14.0,20
STJ.L,ST. JAMES'S PLACE PLC ORD 15P,Financial Services,Asset Management,11.18,5.51,80.0,STRONG BUY,77.22,85.5,10.45,3.62,1.68,38.46,1.26,4.43,0.33,3.07,24.85,1.61,16.89,12.0,22.0,21.0,25
IGG.L,IG GROUP HOLDINGS PLC ORD 0.005,Financial Services,Capital Markets,13.63,4.49,78.0,STRONG BUY,18.47,26.2,12.98,2.42,1.51,,42.27,38.8,0.33,3.12,8.92,3.08,44.24,15.0,22.0,21.0,20
CNA.L,CENTRICA PLC ORD 6 14/81P,Utilities,Utilities - Independent Power Producers,1.5,6.95,78.0,STRONG BUY,7.04,78.6,10.03,2.01,0.37,19.87,3.64,25.86,0.74,1.43,30.83,3.8,36.42,15.0,15.0,23.0,25
SN.L,SMITH & NEPHEW PLC ORD USD0.20,Healthcare,Medical Devices,10.3,8.63,76.0,STRONG BUY,25.4,59.4,18.74,2.3,1.05,11.85,10.08,14.47,0.73,2.14,12.28,2.84,52.45,15.0,18.0,18.0,25
JD.L,JD SPORTS FASHION PLC ORD 0.05P,Consumer Cyclical,Apparel Retail,0.79,3.72,72.0,BUY,2.67,70.5,8.75,1.3,0.84,13.74,3.44,8.36,1.07,1.51,22.31,1.62,11.71,7.0,15.0,25.0,25
LAND.L,LAND SECURITIES GROUP PLC ORD 1,Real Estate,REIT - Diversified,6.31,4.7,72.0,BUY,10.91,42.2,13.72,0.72,3.56,5.26,38.45,47.07,0.69,0.57,6.22,13.93,68.19,17.0,10.0,20.0,25
PSON.L,PEARSON PLC ORD 25P,Communication Services,Publishing,11.98,7.2,71.0,BUY,21.19,43.5,23.96,2.21,1.67,9.16,8.78,13.32,0.52,2.0,11.65,2.15,50.4,9.0,22.0,15.0,25
RKT.L,RECKITT BENCKISER GROUP PLC ORD,Consumer Defensive,Household & Personal Products,50.04,31.73,71.0,BUY,74.11,32.5,11.27,5.6,2.08,48.02,21.09,18.19,1.8,0.59,9.75,4.35,48.63,22.0,5.0,19.0,25
CCH.L,COCA-COLA HBC AG ORD CHF6.70 (C,Consumer Defensive,Beverages - Non-Alcoholic,44.08,16.07,68.0,BUY,121.5,63.7,18.84,4.56,1.51,25.96,8.14,12.18,1.47,1.37,9.92,2.42,43.96,17.0,12.0,14.0,25
RIO.L,RIO TINTO PLC ORD 10P,Basic Materials,Other Industrial Metals & Mining,72.34,117.65,67.0,BUY,79.66,9.2,13.13,2.4,5.63,19.31,19.58,28.05,0.32,1.42,3.06,4.82,54.88,23.0,19.0,15.0,10
BNZL.L,BUNZL PLC ORD 32 1/7P,Consumer Defensive,Food Distribution,26.74,8.49,66.0,BUY,61.46,56.5,17.71,3.03,1.96,18.16,4.06,6.14,0.98,1.38,8.27,2.86,49.07,10.0,15.0,16.0,25
IMB.L,IMPERIAL BRANDS PLC ORD 10P,Consumer Defensive,Tobacco,24.48,18.45,66.0,BUY,50.43,51.5,11.49,4.81,0.73,37.15,8.96,16.03,2.44,0.7,13.56,6.73,75.41,17.0,5.0,19.0,25
REL.L,RELX PLC ORD 14 51/116P,Industrials,Specialty Business Services,24.5,42.59,66.0,SELL,35.69,31.4,19.6,34.6,1.18,131.86,23.27,32.01,7.1,0.45,5.24,2.78,54.09,25.0,5.0,11.0,25
VOD.L,VODAFONE GROUP PLC ORD USD0.20 ,Communication Services,Telecom Services,1.25,28.92,66.0,BUY,4.26,70.6,11.82,0.66,0.59,0.11,-0.98,7.78,1.0,1.14,17.87,3.11,101.75,4.0,12.0,25.0,25
KGF.L,KINGFISHER PLC ORD 15 5/7P,Consumer Cyclical,Home Improvement Retail,3.44,5.57,65.0,BUY,9.12,62.3,24.55,0.95,0.74,3.92,1.89,3.94,0.38,1.22,17.47,4.06,89.86,4.0,19.0,17.0,25
MTLN.L,METLEN ENERGY & METALS PLC ORD ,Utilities,Utilities - Diversified,48.4,6.89,65.0,BUY,142.95,66.1,18.54,2.3,,11.69,4.99,11.16,1.66,1.81,10.63,2.1,38.37,9.0,13.0,18.0,25
AAF.L,AIRTEL AFRICA PLC ORD USD0.50,Communication Services,Telecom Services,3.12,11.32,64.0,BUY,10.17,69.3,22.29,4.77,,26.41,10.37,33.8,1.84,0.56,11.72,1.67,36.66,23.0,5.0,11.0,25
ITH.L,ITHACA ENERGY PLC ORD 1P,Energy,Oil & Gas E&P,2.85,4.7,63.0,SELL,16.18,82.4,23.72,2.64,,10.17,8.18,34.24,0.73,0.76,20.46,11.98,191.41,15.0,10.0,13.0,25
LGEN.L,LEGAL & GENERAL GROUP PLC ORD 2,Financial Services,Asset Management,2.97,15.99,63.0,SELL,39.64,92.5,26.96,7.68,1.53,27.01,18.03,13.35,9.93,0.95,48.08,7.33,189.97,22.0,7.0,9.0,25
DCC.L,DCC ENERGY PLC ORD EUR0.25 (CDI,Energy,Oil & Gas Refining & Marketing,64.3,5.49,62.0,BUY,425.82,84.9,22.33,2.43,,10.38,0.09,4.69,0.98,1.2,23.82,3.37,72.88,7.0,15.0,15.0,25
BP.L,BP PLC $0.25,Energy,Oil & Gas Integrated,5.42,83.8,61.0,HOLD,23.17,76.6,20.86,1.94,0.06,8.87,2.55,13.15,0.95,1.27,15.37,4.62,95.56,6.0,15.0,15.0,25
LLOY.L,LLOYDS BANKING GROUP PLC ORD 10,Financial Services,Banks - Regional,1.08,62.57,61.0,HOLD,1.22,11.5,13.54,1.52,0.64,11.34,26.43,44.96,,,4.07,3.65,45.63,20.0,11.0,15.0,15
SGE.L,THE SAGE GROUP PLC ORD 1 4/77P,Technology,Software - Application,9.9,8.88,61.0,SELL,19.58,49.5,24.74,41.58,1.12,75.56,14.62,22.3,9.19,0.62,7.12,2.23,55.02,23.0,5.0,8.0,25
AAL.L,ANGLO AMERICAN PLC ORD USD0.623,Basic Materials,Other Industrial Metals & Mining,41.09,44.03,60.0,SELL,67.77,39.4,23.34,3.48,1.4,-3.08,-13.94,26.04,0.74,2.77,5.93,0.71,561.02,7.0,18.0,10.0,25
MNG.L,M&G PLC,Financial Services,Asset Management,3.31,7.97,60.0,SELL,4.82,31.4,10.56,3.03,,-3.34,-1.56,15.03,2.42,1.46,9.6,6.13,164.23,4.0,10.0,21.0,25
RTO.L,RENTOKIL INITIAL PLC ORD 1P,Industrials,Specialty Business Services,3.17,7.97,59.0,HOLD,7.49,57.7,35.18,1.94,0.86,5.97,6.7,12.79,1.11,1.06,13.19,2.95,97.53,9.0,12.0,13.0,25
BTRW.L,BARRATT REDROW PLC ORD 10P,Consumer Cyclical,Residential Construction,3.09,4.26,59.0,SELL,4.69,34.1,18.19,0.56,0.58,3.11,4.02,8.46,3.18,5.03,5.46,1.97,101.79,4.0,13.0,17.0,25
NXT.L,NEXT PLC ORD 10P,Consumer Cyclical,Apparel Retail,146.9,16.77,58.0,HOLD,178.84,17.9,18.69,10.33,2.91,54.54,12.89,17.7,1.2,1.55,4.38,1.92,34.09,20.0,15.0,8.0,15
CCC.L,COMPUTACENTER PLC ORD 7 5/9P,Technology,Information Technology Services,55.65,5.84,57.0,HOLD,76.26,27.0,28.69,5.93,,22.56,1.7,2.11,0.2,1.1,4.93,1.42,38.51,12.0,22.0,3.0,20
SBRY.L,SAINSBURY (J) PLC ORD 28 4/7P,Consumer Defensive,Grocery Stores,3.39,7.38,56.0,HOLD,10.49,67.7,18.82,1.23,3.51,6.41,1.17,3.46,1.07,0.56,11.14,4.06,77.53,4.0,7.0,20.0,25
BT-A.L,BT GROUP PLC ORD 5P,Communication Services,Telecom Services,1.91,18.86,56.0,HOLD,3.39,43.5,17.4,1.5,1.31,8.46,5.48,15.93,1.81,0.85,6.36,4.18,76.02,9.0,7.0,15.0,25
BRBY.L,BURBERRY GROUP PLC ORD 0.05P,Consumer Cyclical,Luxury Goods,10.24,3.67,55.0,SELL,16.99,39.7,170.67,3.9,0.36,2.14,0.87,10.16,1.61,1.87,10.93,,0.0,6.0,13.0,11.0,25
TSCO.L,TESCO PLC ORD 6 1/3P,Consumer Defensive,Grocery Stores,4.82,30.02,55.0,HOLD,10.03,51.9,17.85,2.67,2.09,15.46,2.42,3.97,1.32,0.59,7.48,3.0,52.58,10.0,7.0,13.0,25
IMI.L,IMI PLC ORD 28 4/7P,Industrials,Specialty Industrial Machinery,31.08,7.31,55.0,HOLD,37.24,16.5,22.85,7.92,2.08,35.78,14.09,17.25,0.8,1.3,4.31,1.15,25.2,20.0,15.0,5.0,15
GLEN.L,GLENCORE PLC ORD USD0.01,Basic Materials,Other Industrial Metals & Mining,5.46,64.01,54.0,HOLD,7.57,28.0,16.05,2.07,0.22,16.04,1.78,2.8,1.24,1.06,4.99,2.32,30.03,10.0,12.0,12.0,20
HWDN.L,HOWDEN JOINERY GROUP PLC ORD 10,Consumer Cyclical,"Furnishings, Fixtures & Appliances",7.71,4.2,54.0,HOLD,6.37,-21.1,15.73,3.66,1.53,23.94,10.86,11.79,0.62,1.93,5.44,2.9,44.88,20.0,18.0,16.0,0
BLND.L,BRITISH LAND COMPANY PLC ORD 25,Real Estate,REIT - Diversified,4.02,4.12,53.0,HOLD,3.39,-18.8,8.94,0.68,5.86,7.8,73.7,62.78,0.53,0.32,5.3,5.69,50.51,17.0,14.0,22.0,0
LSEG.L,LONDON STOCK EXCHANGE GROUP PLC,Financial Services,Financial Data & Stock Exchanges,81.54,39.3,52.0,HOLD,99.14,17.8,29.33,2.17,0.76,7.69,14.64,28.99,0.64,1.0,4.37,1.89,53.94,15.0,15.0,7.0,15
HLN.L,HALEON PLC ORD GBP0.01,Healthcare,Drug Manufacturers - Specialty & Generic,3.43,30.13,52.0,HOLD,3.11,-10.1,19.03,1.86,2.12,10.09,14.55,23.94,0.5,0.69,5.98,2.13,39.23,18.0,14.0,15.0,5
INF.L,INFORMA PLC ORD 0.1P,Communication Services,Publishing,8.98,11.22,51.0,SELL,10.97,18.1,52.81,1.99,0.12,4.5,5.43,17.9,0.54,0.55,8.04,2.51,128.65,9.0,14.0,13.0,15
GAW.L,GAMES WORKSHOP GROUP PLC ORD 5P,Consumer Cyclical,Leisure,181.1,5.98,50.0,HOLD,81.97,-120.9,29.07,17.85,,66.87,31.23,41.09,0.17,3.63,2.98,2.29,77.91,25.0,25.0,0.0,0
EXPN.L,EXPERIAN PLC ORD USD0.10,Industrials,Consulting Services,26.75,23.58,49.0,HOLD,28.74,6.9,21.93,5.84,1.26,28.26,17.79,25.03,1.0,0.85,3.87,1.91,39.78,25.0,9.0,5.0,10
SDLF.L,STANDARD LIFE PLC ORD 10P,Financial Services,Insurance - Life,9.34,9.36,49.0,SELL,1081.45,99.1,12.4,-43.04,,-31.89,-1.15,1.08,3.41,0.16,416.56,5.93,51.15,2.0,5.0,17.0,25
ULVR.L,UNILEVER PLC ORD 3.5P,Consumer Defensive,Household & Personal Products,46.98,101.16,48.0,HOLD,47.49,1.1,21.45,7.29,10.72,31.87,18.32,20.34,1.75,0.74,6.66,3.55,76.11,25.0,5.0,8.0,10
NWG.L,NATWEST GROUP PLC ORD 107.69P,Financial Services,Banks - Regional,6.95,55.15,47.0,SELL,0.0,-100.0,9.27,1.43,1.48,14.78,37.73,53.05,,,-22.37,4.94,43.57,20.0,6.0,21.0,0
BATS.L,BRITISH AMERICAN TOBACCO PLC OR,Consumer Defensive,Tobacco,41.65,89.65,47.0,SELL,24.88,-67.4,14.31,1.94,1.4,13.42,24.99,34.91,0.72,0.83,3.93,5.88,83.44,20.0,12.0,15.0,0
BEZ.L,BEAZLEY PLC ORD 5P,Financial Services,Insurance - Specialty,13.06,7.78,47.0,SELL,0.0,-100.0,15.93,2.12,8.14,14.2,11.75,14.01,0.13,36.0,-0.09,1.91,30.04,15.0,20.0,12.0,0
BARC.L,BARCLAYS PLC ORD 25P,Financial Services,Banks - Diversified,4.65,62.25,47.0,SELL,0.0,-100.0,9.69,0.96,0.94,10.09,27.87,42.95,,,-1.52,2.44,17.81,20.0,6.0,21.0,0
ABF.L,ASSOCIATED BRITISH FOODS PLC OR,Consumer Defensive,Packaged Foods,18.55,12.97,46.0,SELL,16.02,-15.8,13.95,1.15,2.2,8.45,4.89,6.64,0.32,1.51,5.68,3.45,47.27,4.0,22.0,20.0,0
CCEP.L,COCA-COLA EUROPACIFIC PARTNERS ,Consumer Defensive,Beverages - Non-Alcoholic,76.8,33.8,46.0,SELL,92.69,17.1,20.16,4.8,2.64,23.54,9.35,13.4,1.39,0.89,4.68,2.4,46.62,17.0,9.0,5.0,15
ANTO.L,ANTOFAGASTA PLC ORD 5P,Basic Materials,Copper,38.43,37.89,45.0,SELL,16.2,-137.2,30.74,4.72,0.92,17.85,17.79,42.0,0.54,2.58,1.52,1.53,38.47,23.0,22.0,0.0,0
BA.L,BAE SYSTEMS PLC ORD 2.5P,Industrials,Aerospace & Defense,19.93,58.34,44.0,SELL,20.0,0.3,28.47,4.82,2.91,18.63,7.19,9.67,0.73,1.02,5.04,1.84,52.01,13.0,15.0,6.0,10
LMP.L,LONDONMETRIC PROPERTY PLC ORD 1,Real Estate,REIT - Industrial,1.8,4.4,44.0,SELL,1.16,-55.8,13.88,0.89,8.84,6.67,63.01,92.26,0.68,0.77,4.23,6.96,95.77,17.0,10.0,17.0,0
MRO.L,MELROSE INDUSTRIES PLC ORD GBP0,Industrials,Specialty Industrial Machinery,4.88,6.08,44.0,SELL,5.47,10.8,37.52,2.13,0.51,5.6,4.28,8.22,0.72,1.07,7.38,1.54,56.25,4.0,15.0,10.0,15
DGE.L,DIAGEO PLC ORD 28 101/108P,Consumer Defensive,Beverages - Wineries & Distilleries,16.39,36.43,44.0,SELL,17.54,6.6,28.25,4.49,0.54,14.99,8.84,27.04,1.71,1.6,7.05,2.76,106.6,15.0,13.0,6.0,10
UU.L,UNITED UTILITIES GROUP PLC ORD ,Utilities,Utilities - Regulated Water,14.08,10.46,43.0,SELL,0.0,-100.0,16.37,4.28,1.11,27.67,22.43,41.18,5.13,2.55,-4.87,3.84,61.13,25.0,8.0,10.0,0
HLMA.L,HALMA PLC ORD 10P,Industrials,Conglomerates,35.82,13.53,43.0,SELL,19.23,-86.3,36.55,6.24,2.83,18.31,14.42,20.58,0.42,2.14,1.93,0.69,24.19,21.0,22.0,0.0,0
HSBA.L,HSBC HOLDINGS PLC ORD $0.50 (UK,Financial Services,Banks - Diversified,15.09,258.27,43.0,SELL,0.0,-100.0,14.38,2.03,0.89,13.1,37.8,58.77,,,-27.32,3.63,52.64,20.0,6.0,17.0,0
