Ticker,Name,Sector,Current Price (£),Price 1Y Ago (£),Price 3Y Ago (£),Price 5Y Ago (£),1Y Return (%),3Y Return (%),5Y Return (%),Buffett Score Today,Current Signal,Margin of Safety (%),P/E Ratio,ROE (%),Historical Score (2021)
AAF.L,AIRTEL AFRICA PLC ORD USD0.50,Communication Services,3.05,2.23,1.27,0.99,36.7,140.1,207.4,64.0,BUY,70.0,21.76,26.41,50.0
SMT.L,SCOTTISH MORTGAGE INVESTMENT TR,N/A,15.29,11.39,6.62,14.03,34.3,131.0,9.0,22.0,SELL,-100.0,5.56,,50.0
IWVL.L,ISHARES IV PLC ISHS EDGE MSCI W,N/A,82.58,54.64,37.74,36.24,51.1,118.8,127.9,14.0,SELL,-100.0,15.39,,
ABDN.L,ABERDEEN GROUP PLC ORD 13 61/63,Financial Services,2.46,1.91,1.53,2.45,29.3,60.9,0.7,89.0,STRONG BUY,70.0,11.73,7.6,50.0
ADM.L,ADMIRAL GROUP PLC ORD 0.1P,Financial Services,38.32,32.29,24.14,34.44,18.7,58.7,11.3,35.0,SELL,-100.0,17.58,45.56,50.0
VUKE.L,VANGUARD FUNDS PLC VANGUARD FTS,N/A,0.47,0.39,0.3,0.25,20.2,56.1,83.1,11.0,SELL,-100.0,16.79,,
FCIT.L,F&C INVESTMENT TRUST PLC ORD 6.,N/A,3.43,2.98,2.2,2.18,14.9,55.8,57.1,22.0,SELL,-100.0,4.51,,50.0
IUKD.L,ISHARES PLC ISHARES UK DIVIDEND,N/A,10.21,8.39,6.6,7.11,21.7,54.5,43.5,14.0,SELL,-100.0,15.01,,
CTY.L,CITY OF LONDON INVESTMENT TRUST,N/A,5.85,4.99,3.99,3.85,17.2,46.6,51.9,22.0,SELL,-100.0,5.13,,50.0
VMID.L,VANGUARD FUNDS PLC VANGUARD FTS,N/A,0.37,0.32,0.25,0.31,17.7,46.5,21.3,14.0,SELL,-100.0,15.93,,
ISF.L,ISHARES PLC ISHARES CORE FTSE10,N/A,10.46,8.96,7.43,6.81,16.8,40.9,53.7,14.0,SELL,-100.0,15.32,,
III.L,3I GROUP PLC ORD 73 19/22P,N/A,27.14,39.34,20.48,12.95,-31.0,32.5,109.6,22.0,SELL,-100.0,5.04,,50.0
ALW.L,ALLIANCE WITAN PLC ORD 2.5P,N/A,13.58,12.6,10.33,10.07,7.8,31.4,34.9,8.0,SELL,-100.0,20.51,,50.0
